Year,Week,Ranking,TV,movie_zh_name,category,director,imdb_score
2021,20,8,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,20,8,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,21,2,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,劇情,Yoon Ji-ryeon,8.6
2021,21,4,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,21,4,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,21,5,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,21,5,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,21,7,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,21,7,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,22,2,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,劇情,Yoon Ji-ryeon,8.6
2021,22,3,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,22,3,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,22,4,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,22,4,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,22,7,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,22,7,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,23,2,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,23,2,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,23,4,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,23,4,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,23,5,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,劇情,Yoon Ji-ryeon,8.6
2021,23,7,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,23,7,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,24,1,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,24,1,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,24,10,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,24,10,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,24,4,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,24,4,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,24,7,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,劇情,Yoon Ji-ryeon,8.6
2021,24,8,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,24,8,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,25,1,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,25,1,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,25,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,25,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,25,5,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,25,5,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,25,8,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,26,1,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,26,1,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,26,10,Racket Boys,羽球少年團,"青少年, 喜劇",NA,4
2021,26,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,26,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,26,7,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,26,7,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,26,8,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,27,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,27,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,27,4,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,27,5,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,27,5,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,27,6,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,27,6,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,27,9,Racket Boys,羽球少年團,"青少年, 喜劇",NA,4
2021,28,10,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,28,10,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,28,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,28,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,28,3,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,28,5,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,28,5,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,28,7,Racket Boys,羽球少年團,"青少年, 喜劇",NA,4
2021,28,9,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,29,1,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,29,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,29,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,29,6,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,29,7,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,29,7,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,29,8,Racket Boys,羽球少年團,"青少年, 喜劇",NA,4
2021,30,1,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,30,10,Kingdom,屍戰朝鮮,"網路漫改, 政治, 時代經典, 驚悚, 恐怖, 冒險動作",Kim Eun-hee,8.3
2021,30,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,30,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,30,5,Racket Boys,羽球少年團,"青少年, 喜劇",NA,4
2021,30,8,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,30,8,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,30,9,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,31,1,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,31,10,You Are My Spring,你是我的春天,浪漫,Lee Mi-na,7.4
2021,31,2,What's Wrong with Secretary Kim,金秘書為何那樣,"網路漫改, 浪漫, 喜劇, 書籍改編",NA,8.1
2021,31,3,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,31,3,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,31,5,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
