Year,Week,Ranking,TV,movie_zh_name,first_air_date,category,origin_country,original_language
2021,24,9,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,24,10,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,2021/5/14,家庭,KR,ko
2021,25,1,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,25,2,Mad for Each Other,不瘋不狂不愛你,2021-05-24,"浪漫, 喜劇",KR,ko
2021,25,3,Mine,我的上流世界,2021/5/8,家庭,KR,ko
2021,25,4,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,25,5,So Not Worth It,明天不要來,2021-06-18,"情境, 喜劇",KR,ko
2021,25,6,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,25,7,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,25,8,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,2021/5/14,家庭,KR,ko
2021,25,9,Love Marriage Divorce,婚詞離曲,2021-01-23,家庭,KR,ko
2021,25,10,Record of Ragnarok,終末的女武神,2021/6/17,,JP,ja
2021,26,1,Mine,我的上流世界,2021/5/8,家庭,KR,ko
2021,26,2,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,26,3,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,26,4,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,26,5,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,26,6,Sex/Life,性／生活,2021-06-25,,US,en
2021,26,7,Love Marriage Divorce,婚詞離曲,2021-01-23,家庭,KR,ko
2021,26,8,Mad for Each Other,不瘋不狂不愛你,2021-05-24,"浪漫, 喜劇",KR,ko
2021,26,9,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,26,10,So Not Worth It,明天不要來,2021-06-18,"情境, 喜劇",KR,ko
2021,27,1,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,27,2,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,27,3,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,27,4,You Are My Spring,你是我的春天,2021/7/5,浪漫,KR,ko
2021,27,5,Sex/Life,性／生活,2021-06-25,,US,en
2021,27,6,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,27,7,Love Marriage Divorce,婚詞離曲,2021-01-23,家庭,KR,ko
2021,27,8,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,27,9,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,27,10,Mine,我的上流世界,2021/5/8,家庭,KR,ko
2021,27,11,Resident Evil: Infinite Darkness,惡靈古堡：無盡闇黑,2021/7/8,,US,en
2021,28,1,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,28,2,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,28,3,You Are My Spring,你是我的春天,2021/7/5,浪漫,KR,ko
2021,28,4,Love Marriage Divorce,婚詞離曲,2021-01-23,家庭,KR,ko
2021,28,5,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,28,6,Sex/Life,性／生活,2021-06-25,,US,en
2021,28,7,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,28,8,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,28,9,Resident Evil: Infinite Darkness,惡靈古堡：無盡闇黑,2021/7/8,,US,en
2021,28,10,Doomed Marriage,Doomed Marriage,2022,脫口秀,KR,ko
2021,29,1,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,29,2,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,29,3,You Are My Spring,你是我的春天,2021/7/5,浪漫,KR,ko
2021,29,4,Love Marriage Divorce,婚詞離曲,2021-01-23,家庭,KR,ko
2021,29,5,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,29,6,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,29,7,Sex/Life,性／生活,2021-06-25,,US,en
2021,29,8,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,29,9,The Iron Squad,The Iron Squad,2021-03-23,"競賽, 實境",KR,ko
2021,29,10,Kingdom,屍戰朝鮮,2019/1/25,"網路漫改, 政治, 時代經典, 驚悚, 恐怖, 冒險動作",KR,ko
2021,30,1,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,30,2,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,30,3,You Are My Spring,你是我的春天,2021/7/5,浪漫,KR,ko
2021,30,4,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,30,5,Sex/Life,性／生活,2021-06-25,,US,en
2021,30,6,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,30,7,Kingdom,屍戰朝鮮,2019/1/25,"網路漫改, 政治, 時代經典, 驚悚, 恐怖, 冒險動作",KR,ko
2021,30,8,Love Marriage Divorce,婚詞離曲,2021-01-23,家庭,KR,ko
2021,30,9,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,30,10,Lawless Lawyer,武法律師,2018/5/12,"犯罪, 法庭, 驚悚",KR,ko
2021,31,1,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,31,2,You Are My Spring,你是我的春天,2021/7/5,浪漫,KR,ko
2021,31,3,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,31,4,Search: WWW,WWW：請輸入檢索詞,2019-06-05,浪漫,KR,ko
2021,31,5,Love Marriage Divorce,婚詞離曲,2021-01-23,家庭,KR,ko
2021,31,6,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,31,7,Sex/Life,性／生活,2021-06-25,,US,en
2021,31,8,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,31,9,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,31,10,Doomed Marriage,Doomed Marriage,2022,脫口秀,KR,ko
2021,32,1,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,32,2,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,32,3,Search: WWW,WWW：請輸入檢索詞,2019-06-05,浪漫,KR,ko
2021,32,4,You Are My Spring,你是我的春天,2021/7/5,浪漫,KR,ko
2021,32,5,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,32,6,Love Marriage Divorce,婚詞離曲,2021-01-23,家庭,KR,ko
2021,32,7,Racket Boys,羽球少年團,2021/5/31,"青少年, 喜劇",KR,ko
2021,32,8,My Golden Kids,My Golden Kids,2020-05-29,脫口秀,KR,ko
2021,32,9,Monthly Magazine Home,月刊家,2021-06-16,"浪漫, 喜劇",KR,ko
2021,32,10,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,33,1,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,33,2,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,33,3,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,33,4,You Are My Spring,你是我的春天,2021/7/5,浪漫,KR,ko
2021,33,5,Love After Divorce,Love After Divorce,2021-07-11,實境,KR,ko
2021,33,6,Search: WWW,WWW：請輸入檢索詞,2019-06-05,浪漫,KR,ko
2021,33,7,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,33,8,My Golden Kids,My Golden Kids,2020-05-29,脫口秀,KR,ko
2021,33,9,Doomed Marriage,Doomed Marriage,2022,脫口秀,KR,ko
2021,33,10,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,34,1,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,34,2,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,34,3,Love After Divorce,Love After Divorce,2021-07-11,實境,KR,ko
2021,34,4,Nevertheless,無法抗拒的他,2021-06-19,"網路漫改, 浪漫",KR,ko
2021,34,5,You Are My Spring,你是我的春天,2021/7/5,浪漫,KR,ko
2021,34,6,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,34,7,Search: WWW,WWW：請輸入檢索詞,2019-06-05,浪漫,KR,ko
2021,34,8,Doomed Marriage,Doomed Marriage,2022,脫口秀,KR,ko
2021,34,9,Love Naggers,Love Naggers,2018-01-13,脫口秀,KR,ko
2021,34,10,D.P.,D.P：逃兵追緝令,2021/8/27,"網路漫改, 社會議題",KR,ko
2021,35,1,D.P.,D.P：逃兵追緝令,2021/8/27,"網路漫改, 社會議題",KR,ko
